GB_ACC,GSM27531,GSM27532,GSM27533,GSM27534,GSM27536,GSM27537,GSM27538,GSM27540,GSM27541,GSM27543,GSM27546,GSM27548,GSM27549,ID
U48705,676.6,769.2,604.3,584.2,540.3,801.0,701.4,540.9,570.0,699.0,830.5,600.9,612.0,1007_s_at
M87338,39.0,45.2,50.1,51.0,98.9,48.2,90.9,53.8,57.5,81.8,80.2,97.7,59.0,1053_at
X51757,41.3,32.6,77.7,57.5,75.8,39.5,36.2,21.6,56.2,74.6,11.8,49.4,46.1,117_at
X69699,585.3,527.0,501.3,506.5,561.3,433.6,395.6,414.6,606.6,743.0,696.3,736.3,757.0,121_at
L36861,28.6,24.9,14.0,14.4,38.2,26.3,22.0,17.8,24.5,43.5,62.0,67.6,49.0,1255_g_at
L13852,181.5,195.2,191.4,193.7,203.3,223.0,244.1,278.2,179.5,204.3,212.4,203.7,229.3,1294_at
X55005,46.0,50.4,33.7,45.5,48.6,46.2,41.4,41.8,68.5,90.2,125.1,90.0,80.3,1316_at
X79510,47.4,66.3,69.9,51.8,23.4,49.8,30.9,28.3,51.1,44.6,74.5,63.7,49.3,1320_at
M21121,5.1,10.2,7.5,6.9,2.2,1.7,22.1,97.8,7.1,4.3,11.5,7.9,4.4,1405_i_at
J02843,33.9,22.9,14.7,19.4,31.7,28.8,38.7,29.7,40.6,34.5,37.8,62.5,38.9,1431_at
X75208,62.2,15.0,61.5,44.0,35.4,38.1,30.3,11.1,63.6,27.3,66.9,50.1,46.1,1438_at
L38487,163.9,217.8,131.9,205.0,128.8,160.1,104.3,156.4,98.3,252.3,225.0,171.8,186.4,1487_at
M33318,143.3,144.6,134.5,181.1,179.3,127.8,99.8,81.9,130.7,199.5,180.1,140.6,218.5,1494_f_at
L13720,5433.7,4354.3,4013.6,3458.0,2594.6,5045.5,4613.7,4455.3,3011.6,2973.9,2166.9,2244.1,2193.2,1598_g_at
Z48481,459.6,491.4,559.8,423.7,674.2,529.8,634.4,295.6,325.0,436.7,497.0,457.7,587.4,160020_at
L41690,429.1,275.9,332.8,277.7,193.3,227.2,188.5,328.0,206.1,255.7,339.3,232.1,238.2,1729_at
L00635,105.3,150.6,126.3,149.7,81.7,89.3,74.6,65.0,75.9,162.0,168.1,158.3,140.5,1773_at
U38545,38.8,81.8,57.5,71.7,84.2,65.0,55.0,49.2,61.5,103.3,96.5,84.5,149.1,177_at
U38980,711.1,548.2,543.0,486.1,396.4,343.8,396.5,321.9,339.4,474.3,829.3,415.5,602.9,179_at
U66879,224.9,172.0,124.3,191.7,193.0,142.6,150.9,133.3,141.9,178.8,109.3,151.8,155.8,1861_at
NM_006445,497.6,614.1,636.5,582.5,728.0,310.5,515.1,299.8,468.2,528.8,592.2,425.8,461.4,200000_s_at
NM_001749,3259.2,2263.4,2244.1,2406.5,2766.7,2124.1,2354.4,2065.5,2175.7,1662.5,1887.4,1811.4,1397.2,200001_at
NM_007209,4302.5,4840.7,4946.5,4710.5,6549.2,5994.5,5219.0,4409.6,3872.6,3895.6,4359.0,4070.5,3887.4,200002_at
NM_000991,7103.4,6281.4,7262.7,7139.1,9009.3,8029.2,7042.0,5782.8,6854.4,7015.7,8089.5,8202.1,7165.8,200003_s_at
NM_001418,1745.9,2078.6,2079.5,2502.2,2213.5,2248.3,2376.4,2214.3,3283.3,2750.9,2437.2,2458.5,2469.0,200004_at
NM_003753,1363.8,1494.0,1599.3,1583.6,1711.4,1328.1,1387.0,828.5,1154.0,1179.3,1582.1,1355.6,1240.9,200005_at
NM_007262,2051.7,2601.5,2019.5,2067.2,3955.3,3314.8,3756.7,2757.1,2120.5,1780.8,2092.7,1806.6,1901.3,200006_at
NM_003134,1930.9,2386.7,1960.4,1970.8,2562.6,2589.2,2171.0,2162.7,2504.7,2580.3,2257.8,2553.7,2108.0,200007_at
D13988,239.8,703.1,681.2,975.6,512.8,507.2,524.8,512.1,807.2,647.0,808.0,721.1,747.0,200008_s_at
NM_001494,912.0,1219.0,1188.1,1516.9,1357.7,1547.0,1517.2,1186.1,1296.7,997.3,1053.4,1017.4,1031.0,200009_at
