Description,GSM1059640,GSM1059641,GSM1059642,GSM1059643,GSM1059644,GSM1059645,GSM1059646,GSM1059647,GSM1059648,GSM1059649,GSM1059650,GSM1059651,GSM1059652,GSM1059653,GSM1059654,ID
hypothetical LOC100009676,1.571666506,1.599419163,1.766315061,1.648733406,1.778823115,1.444447869,1.389104257,1.599656337,1.491489506,1.579773216,1.794039899,1.54383433,1.535434878,1.700026584,1.690684867,100009676_at
mediator complex subunit 6,4.857468772,4.587549424,5.189941405,4.676122046,4.83392413,4.301166874,5.799086239,4.850072042,5.58644524,4.190247405,4.59915065,5.558258527,4.470321557,5.047153432,4.976012159,10001_at
"nuclear receptor subfamily 2, group E, member 3",1.710576702,1.81930777,1.908843993,1.775028921,1.89132465,1.938708272,1.931064659,1.933823865,1.828817189,1.828817189,1.758529648,2.217959063,1.749672399,1.706798595,1.821415436,10002_at
N-acetylated alpha-linked acidic dipeptidase 2,4.586990095,4.499544533,5.492046587,4.989800198,5.386867561,4.899911613,3.634286747,6.134164183,3.51673897,5.672112272,4.95505907,4.538335251,6.720536425,4.890428815,4.499989132,10003_at
CDKN2B antisense RNA 1 (non-protein coding),2.353252599,2.223651643,2.402424449,2.548895278,2.120933272,2.288817448,2.351775969,1.967625847,2.700280528,2.07859699,2.350956901,2.329518939,2.487450258,2.287791636,2.601532721,100048912_at
sialic acid binding Ig-like lectin 14,2.442565875,2.745205539,2.325495912,2.372391225,2.531663148,2.194685229,2.831734259,2.3160237,2.591515523,2.343294761,2.471840581,2.105129899,2.17331193,2.602129577,2.390008855,100049587_at
hypothetical LOC100049716,7.192220126,7.977069686,7.587963599,7.581887064,7.55941599,7.479333914,7.528251746,8.487773655,6.870605807,7.479234978,7.696464296,7.630424916,7.966753593,7.179464378,7.737394783,100049716_at
N-acetylated alpha-linked acidic dipeptidase-like 1,2.830430471,2.95010591,3.006402067,2.791818779,2.676935706,2.742203516,3.248500746,2.695710312,3.426865802,3.046262317,3.008474142,3.19534671,3.12192227,2.519578025,2.856514311,10004_at
acyl-CoA thioesterase 8,4.035503402,4.050782439,3.463542456,4.041889569,3.683823072,4.05333215,4.67387162,3.88069104,4.267238918,3.984571965,4.257705703,4.982689732,4.127023418,4.310854771,4.05333215,10005_at
abl-interactor 1,9.248604168,9.274010491,9.205184095,9.055669994,8.908151475,9.013338907,9.594960948,8.857044992,8.71568153,7.995570168,9.03943597,8.85710333,8.186638242,9.284340417,9.024849691,10006_at
glucosamine-6-phosphate deaminase 1,6.929404435,5.848506295,6.025414892,6.326326153,5.535609222,5.799218336,6.312160531,6.539297387,6.481295202,6.139528865,6.623136349,6.96545438,5.958456429,6.560825011,6.149461447,10007_at
"potassium voltage-gated channel, Isk-related family, member 3",7.916541047,9.138155507,8.085882362,9.485599724,9.266874093,7.700492922,9.564924411,8.225602227,7.984513505,8.557522036,7.941007463,9.402694653,8.28298392,9.17810001,9.085523812,10008_at
zinc finger and BTB domain containing 33,8.360347982,8.284816448,8.449795806,8.073963302,8.166366831,8.388101938,8.055451464,8.367540163,7.592079793,8.36823578,8.085977589,7.932820202,8.305735458,8.166366831,8.013129223,10009_at
"cadherin 2, type 1, N-cadherin (neuronal)",2.300137105,1.853565637,2.301928073,2.449067256,1.806913753,1.989396364,2.383166158,2.301928073,2.381605872,2.564613033,2.301928073,2.886043786,2.956206522,2.041959229,1.984227018,1000_at
zinc finger and SCAN domain containing 30,4.605880885,4.7358165,4.698873239,4.825491967,4.458695897,5.007594241,4.211275066,4.746879009,3.828287525,4.010004675,4.789492568,3.791545749,4.026963049,4.812607768,4.668616121,100101467_at
TRAF family member-associated NFKB activator,9.210721412,9.601064099,9.281881662,8.992354821,9.040998474,9.281203984,9.397223034,9.435695286,9.481020047,9.055101675,9.326283846,9.254140291,8.820083818,9.50862681,9.444544673,10010_at
steroid receptor RNA activator 1,7.530788815,7.642549818,7.768800194,6.958505217,7.45240754,7.321292444,7.957090107,7.579845669,7.957626041,8.198415051,7.623838038,8.296520595,7.733750307,7.613933384,7.642549818,10011_at
KIAA1024-like,1.608832718,1.339489819,1.383451281,1.398225318,1.746772083,1.285037465,1.818455197,1.517889599,1.873172863,1.864603518,1.413745851,1.521560402,1.873973877,1.882978345,1.72759105,100127206_at
hypothetical LOC100127888,1.977819034,2.06205068,2.145557845,2.017828872,1.941462178,1.797492804,1.943307303,1.881290331,2.468049331,1.583522234,2.14166279,2.068034172,1.712076643,1.938521583,2.329373273,100127888_at
chromosome 10 open reading frame 131,1.795121599,1.664750492,2.011298131,1.982814868,2.391725572,2.274886019,2.096589139,1.738122518,2.568539443,1.899569794,1.580728033,1.84169873,2.901535403,1.516672114,2.017909097,100127889_at
hypothetical LOC100127950,1.85123202,1.63689147,1.799009275,1.704023984,1.97723566,1.85123202,1.92955503,1.731153197,2.07153027,1.951746796,1.85123202,2.001102961,1.95605798,1.971686222,1.787243496,100127950_at
hypothetical LOC100128252,7.180019914,7.136053531,7.141989392,6.935957277,7.009114257,7.084385031,6.520747503,6.551306553,8.223541517,7.327332413,6.117167779,8.186846674,7.393968901,7.624430536,7.089131713,100128252_at
DNM1 pseudogene 35,1.516042466,1.572597975,2.001642934,1.624204279,1.935593066,1.480015982,1.70260529,1.940193493,2.08228773,1.566796574,1.533415768,1.673144588,2.001503355,1.63035329,1.402367895,100128285_at
hypothetical LOC100128288,2.657783022,2.654591471,2.574374125,3.243468701,3.095211284,3.123613682,2.907609803,3.034250981,2.557867397,2.370582524,2.856244571,2.646159387,2.775621892,2.870691579,2.945688554,100128288_at
hypothetical LOC100128310,2.383796466,2.148283396,1.712532351,1.758977378,2.256058392,2.121528345,2.543680771,2.025881866,2.560802393,1.960493894,2.233394293,2.339995618,1.692746704,2.17780951,2.197627674,100128310_at
BET3 like (S. cerevisiae),1.805578485,1.505225506,1.66316556,1.854423221,1.592124393,1.79908587,1.674886378,1.931844121,1.88751668,1.79908587,2.088494824,1.954160864,1.742275157,1.539633082,1.97079173,100128327_at
hypothetical LOC100128364,2.328366824,2.527554663,2.360703261,2.373593834,2.59491762,2.402721935,2.229165982,2.223847792,2.55645387,2.38058057,2.57711591,2.535198065,2.835458105,2.508475934,2.560442731,100128364_at
hypothetical LOC100128374,2.159349771,2.294851805,2.080275829,1.965612599,2.005262351,2.175686168,2.175686168,2.296545561,2.261005065,2.17586919,1.994201967,2.219728786,2.253777206,2.142950855,2.197418119,100128374_at
hypothetical LOC100128398,2.928604973,3.21625967,2.357036863,2.820961171,2.329812561,2.686704483,3.288206339,2.357835211,2.169903911,2.733161368,2.439590256,2.504301664,2.363757928,2.425018577,2.818404889,100128398_at
hypothetical protein LOC100128496,1.738054401,1.780700595,1.71187209,2.119954061,1.85452432,1.804684176,2.002843723,1.832717937,2.19359723,2.040886694,1.838313347,2.363050875,1.975100808,1.7820412,1.672603771,100128496_at
