GB_ACC,GSM114834,GSM114840,GSM114841,GSM114842,GSM114843,GSM114844,GSM114845,GSM114846,GSM114847,GSM114848,GSM114849,GSM114850,GSM114851,GSM114852,GSM114853,GSM114854,GSM114855,ID
U48705,197.1,217.8,222.6,254.4,296.5,252.7,219.3,215.9,171.1,268.9,258.9,251.2,239.0,301.9,234.3,286.0,230.1,1007_s_at
M87338,26.9,34.9,35.5,31.4,27.1,24.5,23.4,25.2,25.9,40.5,31.4,22.2,20.6,24.6,31.3,26.1,24.3,1053_at
X51757,46.9,64.2,41.5,61.7,93.7,53.3,31.3,82.3,68.5,79.6,43.0,40.0,65.5,43.2,53.4,39.6,68.5,117_at
X69699,221.1,238.7,229.8,291.5,399.8,419.6,274.5,296.5,307.1,364.8,227.1,326.1,271.6,387.2,400.9,428.7,333.4,121_at
L36861,2.4,8.9,14.3,13.9,24.7,13.0,29.6,6.3,3.8,14.3,16.3,1.9,4.6,12.0,11.5,10.7,7.8,1255_g_at
L13852,96.6,87.1,150.8,100.9,111.4,116.0,89.9,71.3,81.3,142.6,125.1,82.9,89.2,107.1,100.3,79.5,85.0,1294_at
X55005,34.7,35.7,29.7,26.2,47.7,35.4,53.0,39.0,39.7,51.9,42.0,46.3,44.1,46.0,40.0,51.2,42.5,1316_at
X79510,34.5,36.4,35.1,36.4,47.3,44.8,28.8,35.7,31.6,49.0,39.7,15.4,30.9,33.8,31.0,17.8,13.0,1320_at
M21121,108.8,111.3,47.8,55.9,81.7,53.2,41.7,63.9,34.8,31.9,116.9,41.8,43.3,50.7,32.6,20.0,23.1,1405_i_at
J02843,7.5,11.2,22.5,12.5,21.3,24.9,38.7,14.3,7.3,23.8,14.9,18.4,19.6,16.2,10.3,15.7,11.5,1431_at
X75208,21.6,26.0,52.3,17.3,41.3,27.3,18.3,11.3,29.3,35.8,15.0,7.3,38.3,35.0,34.3,19.6,10.6,1438_at
L38487,62.9,66.0,91.6,66.4,107.8,113.4,121.8,76.2,72.9,107.6,85.8,78.3,71.8,77.1,115.4,103.8,97.7,1487_at
M33318,47.3,55.5,73.4,57.1,116.5,111.8,135.3,90.9,73.0,103.4,77.3,67.4,64.9,68.8,82.9,93.4,96.7,1494_f_at
L13720,602.9,674.8,680.2,691.0,805.1,827.8,755.4,611.0,567.8,917.0,875.1,661.2,886.4,909.3,724.3,552.0,843.9,1598_g_at
Z48481,73.8,99.9,182.9,140.8,174.9,206.9,123.0,105.2,149.1,203.9,126.7,159.5,101.6,174.3,169.1,182.8,193.2,160020_at
L41690,83.0,135.6,86.6,106.9,119.9,98.9,82.3,66.5,111.0,108.1,56.2,76.5,143.4,89.8,116.9,115.0,103.5,1729_at
L00635,44.7,50.2,50.9,34.9,48.4,66.9,48.5,33.3,47.4,42.3,45.8,27.2,55.2,41.5,43.0,38.0,36.4,1773_at
U38545,40.1,38.4,45.9,47.2,36.9,44.5,36.7,25.1,21.5,35.4,53.8,25.9,54.1,28.5,25.2,28.3,8.5,177_at
U38980,491.3,606.4,223.4,347.3,743.1,630.1,559.9,533.0,278.7,452.0,540.5,653.2,219.4,975.7,524.5,500.8,546.3,179_at
U66879,59.6,55.8,58.6,58.8,64.8,61.8,40.5,39.6,56.3,51.7,55.9,32.5,59.9,38.8,46.7,40.8,45.6,1861_at
NM_006445,228.6,244.5,272.0,287.8,274.8,290.2,200.6,241.8,247.8,271.2,330.3,280.6,339.0,288.5,256.1,290.6,237.0,200000_s_at
NM_001749,975.8,1142.3,629.4,844.1,848.4,1021.4,739.2,805.2,1073.3,948.2,957.5,950.7,807.5,1155.4,1172.5,926.7,1033.1,200001_at
NM_007209,1990.9,1748.8,1712.8,1987.6,1470.7,1527.3,1465.7,1522.4,1134.0,1409.7,1635.8,1433.4,1803.1,1558.6,1288.5,1296.0,1233.6,200002_at
NM_000991,2566.8,2304.3,3004.1,2366.7,2050.0,1986.8,1957.7,2055.2,1498.6,1779.3,2166.8,1561.2,2095.5,1840.0,1447.6,1480.9,1286.9,200003_s_at
NM_001418,1451.3,1364.2,1330.7,1584.9,1500.6,1483.2,1367.6,1446.1,1536.0,1401.5,1315.3,1326.1,1118.7,1269.8,1289.7,1276.7,1235.2,200004_at
NM_003753,571.9,586.4,671.8,535.3,428.4,458.8,336.9,430.1,329.7,338.3,580.8,453.3,533.1,550.4,502.7,437.6,324.0,200005_at
NM_007262,1739.5,1531.4,1326.1,1698.3,1281.7,1356.6,950.2,1289.9,1379.1,1373.5,1268.5,1268.1,1648.7,1371.6,1490.8,1309.9,1132.9,200006_at
NM_003134,1252.7,1240.1,1375.4,1251.6,1098.0,1128.7,982.2,1052.6,1007.7,1077.8,1308.0,1066.8,1386.9,1097.4,967.9,961.1,955.1,200007_at
D13988,506.6,457.2,701.8,430.0,492.0,523.5,410.3,438.0,408.0,394.7,529.3,373.2,491.1,438.5,497.1,363.9,315.1,200008_s_at
NM_001494,1082.5,1016.3,1134.3,861.7,694.1,837.1,649.3,806.0,736.4,731.8,862.7,851.3,1020.3,882.5,779.6,738.0,681.4,200009_at
NM_000975,2324.4,1973.6,2174.9,2276.3,2270.0,2498.9,1622.6,2139.5,1996.7,1947.7,1819.2,2043.5,2397.8,2401.0,1817.1,2113.6,1943.7,200010_at
NM_001659,230.2,395.3,343.1,332.8,348.5,380.1,247.6,340.8,366.9,301.6,324.4,411.9,392.5,438.9,467.7,415.4,515.2,200011_s_at
NM_000982,2198.6,1953.9,2067.9,2270.8,1989.7,2202.7,1646.4,2049.5,1751.5,1732.7,2198.7,1930.7,1949.5,2282.2,1794.2,1787.0,1879.3,200012_x_at
NM_000986,2090.8,1938.1,2008.2,1846.6,1661.6,1691.8,1582.1,1670.0,1124.9,1138.9,1717.2,1591.9,2261.5,1698.8,1226.4,1173.4,1097.6,200013_at
NM_004500,412.0,389.9,372.3,339.6,380.7,361.6,384.9,443.1,297.1,372.9,326.7,263.2,202.2,269.8,266.6,302.1,313.5,200014_s_at
